client_id;staff_id;description;Date
24;1;"Property Purchase Agreement, Notarization of Adoption Papers'";1/10/2024
25;3;"Power of Attorney, Affidavit of Identity'";1/20/2024
26;4;"Business Incorporation, Contract Review, Business License Application'";2/1/2024
26;5;'Contract Review';2/10/2024
27;1;'Affidavit of Identity';2/15/2024
28;6;'Lease Agreement Notarization';3/1/2024
29;2;"Divorce Agreement, Vehicle Sale Agreement'";3/5/2024
29;3;'Notarization of Medical Documents';3/10/2024
30;4;'Business License Application';3/15/2024
30;5;'Real Estate Purchase for Business';4/1/2024
31;6;"Certified Copy of Passport, Notarization of Foreign Documents'";4/5/2024
32;7;'Trademark Registration';4/10/2024
33;8;'Power of Attorney for Business Transactions';4/15/2024
34;9;"Loan Agreement Notarization, Property Purchase Agreement'";5/1/2024
35;10;'Corporate Resolution Notarization';5/5/2024
36;11;'Partnership Dissolution Agreement';5/10/2024
37;12;"Investment Agreement Certification, Contract Review'";6/1/2024
38;13;'Notarization of Foreign Documents';6/10/2024
39;14;"Business Partnership Agreement, Contract Review'";6/15/2024
40;15;"Employment Contract Certification, Investment Agreement Certification, Contract Review'";7/1/2024
41;16;'Shareholder Agreement Certification';7/5/2024
42;17;'Property Transfer Deed';7/10/2024
43;18;'General Partnership Agreement';7/15/2024
26;19;'Certification of Incorporation';7/20/2024
32;20;"Real Estate Purchase for Business, Certification of Incorporation'";8/1/2024
24;2;"Will Preparation, Property Transfer Deed'";1/15/2024
